index,source,en,ko
2433,125,"In the United States, DBSC is the only CF service provided, and it helps deaf and visually impaired people to express themselves freely in their language and communicate directly without worrying about their second language, English.","미국에서는 DBSC가 유일하게 CF 서비스를 제공하고 있으며, 시청각장애인이 그들의 언어로 스스로 자유롭게 표현하고 그들의 제 2언어인 영어에 대한 걱정 없이 직접적으로 의사소통할 수 있게끔 도와준다."
8721,71265,"OK, sir, I will also send a request for refund on your behalf.","알겠습니다, 고객님 대신 환불 요청도 보내겠습니다."
139,126,There is a very small impact of the sense of language on the test performance.,국어 감각이 시험 성적에 미칠 영향은 아주 적습니다.
6097,71265,"It's also very durable, with a high level of impact resistance.",또한 높은 수준의 충격 저항으로 튼튼합니다.
5666,126,There are quite many customers who request a return after the plant withers or dies.,식물이 시들거나 죽은 후에 반품을 요청하는 고객이 꽤 많습니다.
9741,71266,"The clinical data-based detection unit 63 may be configured to confirm the type of input data, select the detection units 63-1 and 63-2 corresponding to the confirmed type, and provide the corresponding clinical data.","임상 데이터 기반 검출부(63)는 입력되는 데이터의 종류를 확인하고, 확인된 종류에 대응되는 검출부(63-1, 63-2)를 선택하여, 해당 임상 데이터를 제공하도록 구성될 수 있다."
3062,126,The Financial Supervisory Service explained that there is a possibility that the financial market may change rapidly as there are major events such as the Brexit approval vote on 12th and the U.S. Federal Open Market Committee (FOMC) on 19th-20th.,"금감원은 여기에 12일 브렉시트 승인 투표, 19∼20일 미국 연방공개시장위원회(FOMC) 등 주요 이벤트까지 있어 금융시장이 급변동할 가능성이 있다고 설명했다."
7930,563,"The present application discloses a balloon holder comprising a body and a plurality of fixtures. The body comprises an inner perimeter and an outer perimeter, wherein the inner perimeter defines a void. The plurality of fixtures is coupled to the body, each of the plurality of fixtures comprises a first slot and a second slot connected to one end of the first slot, wherein another end of the first slot is connected to an edge of the fixture. A method for using the aforementioned balloon holder is also disclosed. The method for using a balloon holder comprises inserting a first plurality of balloons into the plurality of fixtures through the first slot and the second slot; inserting a second plurality of balloons into the plurality of fixtures through the first slot and the second slot; and inserting a central balloon into the void.","본 출원은 본체 및 복수의 고정구를 포함하는 풍선 홀더를 개시한다. 본체는 내부 둘레와 외부 둘레를 포함하고, 내부 둘레는 공극을 정의한다. 복수의 고정구는 본체에 결합되고, 복수의 고정구 각각은 제1 슬롯 및 제1 슬롯의 일단부에 연결된 제2 슬롯을 포함하고, 제1 슬롯의 타단부는 고정구의 가장자리에 연결된다. 전술한 풍선 홀더를 사용하는 방법도 개시되어 있다. 풍선 홀더를 사용하는 방법은 제1 슬롯 및 제2 슬롯을 통해 복수의 고정구에 제1 복수의 풍선을 삽입하는 단계; 제1 슬롯 및 제2 슬롯을 통해 복수의 고정구에 제2 복수의 풍선을 삽입하는 단계; 및 중앙 풍선을 보이드에 삽입하는 단계를 포함한다."
3337,125,AAA analyzed the relationship between competition in the product market and risk-seeking behavior of companies as external management control devices.,AAA는 외부 경영 통제 장치로써 상품시장에서의 경쟁과 기업의 위험추구행태 간의 관계를 분석하였다.
5631,71266,"He initially hoped that the U.S. would take the position from his own country, but it was decided to be Germany's share as a U.S. native is in charge of the secretary-general, the second-largest NATO player.",그는 당초 미국은 이 자리를 자국 출신이 차지하기를 희망했지만 나토 서열 넘버2인 사무차장을 미국 출신이 맡고 있어 독일 몫으로 결정됐다.
2384,125,"According to the capability approach, competence can no longer be a diagnostic criterion for disability.","역량 접근에 의하면, 능력은 더 이상 장애 진단 기준이 될 수 없다."
9081,71382,Everyone is busier than before doing assigned work. ,각자 맡은 일을 하느라 더욱 바쁘다.
7060,126,You are right. The bread and chocolate just melted away in my mouth. Should I ask if we can order them separately?,맞아. 빵이랑 초콜릿이 입에서 살살 녹았어. 그것만 따로 주문 가능한지 물어볼까?
906,71265,"Thanks, and I look forward to your answer.","감사합니다, 답변을 기다리겠습니다."
7912,126,"Not mixed with foreign languages, but pure Korean number pronunciation.",외래어가 섞이지 않은 순수 한국어 숫자발음입니다.
8955,124,"The wave of digitalization, called digital transformation or digital transformation, provides an environmental soil that can accelerate this change.",디지털 트랜스포메이션 내지 디지털 전환이라고 불리는 디지털화의 물결은 이러한 변화를 가속화시킬 수 있는 환경적 토양을 제공하고 있다.
6860,124,Radial head fracture of type 2 of Mason class with articular lamellar formation of about 2 mm was observed in radiation findings.,방사선 소견상 2 mm 정도의 관절면 층형성이 있는 Mason 분류 제2형의 요골두 골절이 관찰되었다.
1793,71265,It's just too confusing for him.,그에게는 너무 혼란스러웠나 봅니다.
4503,111,"Previously, in the event of a radio call quality complaint, an engineer visited the site to analyze the cause and take action.",기존에는 무선 통화품질 민원이 발생하는 경우에 엔지니어가 현장을 방문해 원인을 분석하고 조치를 취했다.
552,125,"At that time, the confrontation between the residents and the city or the police was intense due to the 'bullying style' business promotion method of Seoul Mayor AAA.",이는 당시 AAA 서울시장의 ‘불도저식’ 업무추진방식으로 인하여 주민들과 시 또는 경찰의 대립이 격렬하였기 때문이다.
4219,71266,Hydrological drought refers to a general lack of water supply as a result of a long-term water shortage.,장기간의 수분 부족에 의해 전반적인 수자원 공급의 부족을 수문학적 가뭄이라 한다.
5175,563,"Disclosed is a swing control apparatus of construction machinery, including: a hydraulic pump discharging working oil for driving a swing motor and controlling a discharge flux according to an input pump command value Vpump; a pressure sensor sensing pressure of the working oil discharged from the hydraulic pump; and a control unit calculating the pump command value Vpump based on a swing operation quantity Vsw input from the swing operation unit to output the calculated pump command value to the hydraulic pump, wherein when the input swing operation quantity Vsw is larger than a preset reference swing operation quantity Vswo and the discharge pressure Ppump of the hydraulic pump detected by the pressure sensor is lower than a first reference pressure Pswr1, the control unit calculates a converted swing operation quantity Vsw′ gradually increasing from the reference swing operation quantity Vswo to the input swing operation quantity Vsw and calculates the pump command value Vpump of the hydraulic pump corresponding to the converted swing operation quantity Vsw′.","본 발명은 건설기계의 선회제어장치에 있어서, 선회모터를 구동하고 입력된 펌프지령값(Vpump)에 따라 토출유속을 제어하기 위한 작동유를 토출하는 유압펌프; 상기 유압펌프에서 토출되는 작동유의 압력을 감지하는 압력센서; 및 상기 스윙 조작부로부터 입력된 스윙 조작량(Vsw)에 기초하여 상기 펌프 명령값(Vpump)을 산출하여 상기 산출된 펌프 명령값을 상기 유압 펌프로 출력하는 제어부를 포함하고, 상기 입력된 스윙 조작량(Vsw)이 기설정된 기준 스윙보다 큰 경우 압력센서에 의해 감지된 유압펌프의 작동량(Vswo) 및 토출압(Ppump)이 제1 기준압력(Pswr1)보다 낮으면, 제어부는 기준 스윙 작동량(Vswo)에서 입력 스윙까지 점진적으로 증가하는 변환 스윙 작동량(Vsw')을 계산한다. 연산량(Vsw)을 연산하여 변환된 선회 운전량(Vsw')에 해당하는 유압 펌프의 펌프 지령값(Vpump)을 계산한다."
4495,125,"First of all, it would be interesting to introduce what was unfolded as a dangerous discussion.","우선, 위험한 논의로서, 전개된 것을 소개하면 재미있을 것 같다."
3955,111,"The main contents of the agreement are developing related contents, researching and studying the reality related to sustainable consumer life, and conducting consumer education and campaigns to the public.","관련 콘텐츠를 개발하고, 지속가능한 소비생활 관련 실태를 조사·연구하며 소비자 교육과 대국민 캠페인을 시행하는 것 등이 협약의 주요 내용이다."
10085,125,The queen invited them to the palace and gathered together her courtiers to listen to the theological debate.,여왕은 그들을 궁으로 초대했고 신학적 논쟁을 듣기 위해 그녀의 조신들을 모았다.
1437,71382,Be careful.,조심히 따요.
2359,124,"Each grid area may be displayed in a coordinate format such as (xm,i, ym,i), (xm,l, ym,l).","각각의 격자 영역은 (xm,i, ym,i), (xm,l, ym,l)과 같은 좌표 형식으로 표시될 수 있다."
9223,111,"The Gwangju Metopolitan Police Agency's Cyber ​​Investigation Unit announced on the 29th that it was checking the SNS where the Internet address and password used in the Gwangju A high school freshman online class was disclosed, and was checking the visitor at the time.",광주경찰청 사이버수사대는 광주 A 고등학교 1학년 온라인 수업에 사용된 인터넷 주소와 비밀번호가 공개된 SNS를 파악하고 당시 접속자를 확인 중이라고 29일 밝혔다.
6585,71266,"He said, ""It made my dream come true so that the sun could rise in a country where the sun would not rise forever."" he said.","그는 ""해가 영원히 뜨지 않을 것 같은 나라에 태양이 뜰 수 있도록 꿈을 실현하게 해 줬다.""고 말했다."
4171,71382,"The scenery of the town is really pretty, isn't it?",마을의 풍경이 정말 예쁘죠?
483,124,"In the acute phase, it is necessary to determine whether it is a medical or surgical emergency, and it is necessary to confirm that there is no dehydration, which is a complication of vomiting.","급성기에는 일단 내과적 또는 외과적 응급 상황이 아닌지 감별이 필요하며, 구토의 합병증인 탈수 등이 없는지 확인이 필요하다."
9460,71265,BBB1 Foods Corporation's instant cup noodles and kimchi are our leading products locally.,BBB1 푸드 코퍼레이션의 즉석 컵라면과 김치는 저희 로컬 대표 상품입니다.
7285,71266,"The production index for each industry was classified according to the criteria suggested by the Industrial Technical Statistics (ISTANS), and the composition of each industry is as follows.","산업별 생산지수는 산업기술통계(ISTANS)에서 제시된 기준으로 분류하였는데, 각각의 산업별 구성은 다음과 같다."
3014,563,"A thermal processing unit of the present invention includes: a reaction container which an object to be processed is conveyed into and from; a process-gas introducing part for introducing a process gas into the reaction container; a replacement-gas introducing part for introducing a replacement gas into the reaction container, the replacement-gas introducing part being independent of the process-gas introducing part; and a discharging part for discharging a gas in the reaction container. A controlling part is connected to the process-gas introducing part, the replacement-gas introducing part and the discharging part. The controlling part is adapted to control the discharging part so as to lower a pressure in the reaction container lower than a pressure at a thermal process, then control the process-gas introducing part and the replacement-gas introducing part so as to stop introducing the process gas and introduce the replacement gas into the reaction container as well as control the discharging part so as to raise the pressure in the reaction container higher than the pressure at the thermal process, and then control the discharging part so as to lower the pressure in the reaction container lower than the pressure at the thermal process.","본 발명의 열처리 장치는, 피처리체가 반입 및 반출되는 반응 용기와, 상기 반응 용기 내에 처리 가스를 도입하기 위한 처리 가스 도입부와, 상기 처리 가스 도입부와는 별개로 설치되고, 상기 반응 용기 내에 치환용 가스를 도입하기 위한 치환용 가스 도입부와, 상기 반응 용기 내의 가스를 배출하기 위한 배기부를 구비한다. 상기 처리 가스 도입부, 상기 치환용 가스 도입부 및 상기 배기부에는 제어부가 접속되어 있다. 제어부는 상기 배기부를 제어하여 상기 반응 용기 내의 압력을 열처리시 보다도 낮게 하고, 다음에 상기 처리 가스 도입부 및 상기 치환용 가스 도입부를 제어하여 상기 처리 가스의 도입을 정지하여 상기 반응 용기 내에 치환용 가스를 도입하는 동시에 상기 배기부를 제어하여 상기 반응 용기 내의 압력을 열처리시 보다도 높게 하고, 다음에 상기 배기부를 제어하여 상기 반응 용기 내의 압력을 열처리시 보다도 낮게 하도록 되어 있다."
10127,126,But I do know there's just something about him I can't let go.,근데 떠나보낼 수 없는 무언가가 그에게 있다는 걸 알아.
8959,563,"To provide technology related to a wiring board for easily forming a three-dimensional figure by flexure and for favorably and reliably ensuring heat dissipation required when LEDs are mounted. There are provided the flexible wiring board, the light-emitting module using the same, the manufacturing method of the light-emitting module, and the manufacturing method of the flexible wiring board. The flexible wiring board includes plate members 4 respectively deposited on a plurality of portions on one surface of a flexible circuit board 5 and a plurality of electrode parts for mounting light-emitting elements 3 (LEDs) on the flexible circuit board 5. The flexible circuit board is flexed along gaps between the plate members 4 as to form a three-dimensional figure.","배선 기판에 관한 것으로 절곡에 의해 간단하게 입체 형상으로 할 수 있고 LED를 실장했을 경우에 요구되는 방열성을 양호하고 확실하게 확보할 수 있는 기술의 제공을 목적으로 한다. 연성 회로 기판부 5의 편면 복수 개소에 판 부재 4가 피착되고 연성 회로 기판부 5에 발광 소자 3(LED)을 실장하기 위한 복수의 전극부를 가지며, 판 부재 4 간을 경계에 절곡되어 입체 형상으로 되는 절곡 가능 배선 기판, 그것을 이용한 발광 모듈, 발광 모듈 제조 방법, 절곡 가능 배선 기판 제조 방법을 제공한다."
8419,124,This tilt angle also widen the area available by the listener's head.,이러한 기울기 각도는 또한 청자의 머리가 이용할 수 있는 영역을 넓힐 수 있게 한다.
6943,126,Have you analyzed why the contract renewal failed?,대체 이번 재계약은 왜 실패한 것인지 이유는 분석했습니까?
3188,71266,The polar code is a linear block code including one or more information bits and one or more frozen bits.,폴라 코드는 하나 이상의 정보 비트 및 하나 이상의 프로즌 비트(frozen bit)를 포함하는 선형 블록 코드이다.
3118,125,"As time went on, he gradually appeared to write the unusual and interesting word combinations he thought of with more confidence than before.",시간이 흐르면서 점진적으로 자신이 생각하는 특이하고 재미있는 단어 조합들을 이전에 비해 자신감 있게 써나가는 모습을 보였다.
10121,71266,It is difficult to gain the upper hand in wars simply with military weapons in modern military wars.,현대의 군사 전쟁에서는 단순히 군사적 무기만을 가지고는 전쟁에서 우위를 선점하기 어렵다.
7831,124,The power managing circuit 150 may manage the power of the display device 100.,전력 관리 회로(150)는 디스플레이 장치(100)의 전력을 관리할 수 있다.
5559,563,"The invention relates to an internal combustion engine with an independent combustion chamber. The internal combustion engine with the independent combustion chamber is composed of a combustion chamber, an air inlet system, a feed system and an acting system. The air inlet system is connected with the combustion chamber and responsible for conveying compressed air to the combustion chamber; the feed system is connected with the combustion chamber and responsible for conveying fuel to the combustion chamber; the volume of the combustion chamber is fixed, the combustion chamber does not have a movable wall like a piston, fuel continuously burns in the combustion chamber to generate high-temperature high-pressure gas, and the chemical energy of the fuel is converted into the internal energy of the high-temperature high-pressure gas. The acting system is connected with the combustion chamber, and the piston of the acting system acts to convert the internal energy of the gas into mechanical energy.","본 발명은 연소실(1), 공기 유입 시스템(2), 재료 공급 시스템(3), 작업 시스템(4)으로 구성된다. 상기 공기 유입 시스템(2)은 상기 연소실(1)과 연결되어 상기 연소실(1)에 압축 공기를 수송하는 역할을 한다. 상기 재료 공급 시스템(3)은 상기 연소실(1)과 연결되어 상기 연소실(1)에 연료를 수송하는 역할을 한다. 상기 연소실(1) 부피는 고정적이며 피스톤과 같은 이동식 벽이 없고, 연료는 상기 연소실(1)에서 지속적으로 연소하며 고온 고압 기체를 생성하고, 연료의 화학 에너지가 고온 고압 기체의 내부 에너지로 전환된다. 상기 작업 시스템(4)은 상기 연소실(1)과 연결되어 상기 작업 시스템(4)의 피스톤(21) 작업이 기체의 내부 에너지를 기계 에너지로 전환한다."
6678,563,"The present invention provides a method of fabricating a SiGe-on-insulator substrate in which lattice engineering is employed to decouple the interdependence between SiGe thickness, Ge fraction and strain relaxation. The method includes providing a SiGe-on-insulator substrate material comprising a SiGe alloy layer having a selected in-plane lattice parameter, a selected thickness parameter and a selected Ge content parameter, wherein the selected in-plane lattice parameter has a constant value and one or both of the other parameters, i.e., thickness or Ge content, have adjustable values; and adjusting one or both of the other parameters to final selected values, while maintaining the selected in-plane lattice parameter. The adjusting is achieved utilizing either a thinning process or a thermal dilution process depending on which parameters are fixed and which are adjustable.","본 발명은 SiGe 두께, Ge 분율 및 변형 완화율 간의 상호 의존성을 분리하기 위해 격자 엔지니어링을 이용하고 있는 SiGe-온-절연체 기판을 제조하는 방법을 제공한다. 이 방법은 선택된 면내 격자 파라미터, 선택된 두께 파라미터 및 선택된 Ge 컨텐트 파라미터를 갖는 SiGe 합금층을 포함하는 SiGe-온-절연체 기판 물질을 제공하는 단계 - 상기 선택된 면내 격자 파라미터는 일정한 값을 가지며 상기 다른 파라미터 중 하나나 둘 다, 즉 두께나 Ge 컨텐트는 조절 가능한 값을 가짐 - ; 및 상기 선택된 면내 격자 파라미터를 유지하면서 상기 다른 파라미터 중 하나나 둘 다를 최종 선택 값으로 조절하는 단계를 포함한다. 조절 단계는 어느 파라미터가 고정되고 어느 것이 조절 가능한 지에 따라서 박막화 프로세스나 열 희석 프로세스를 이용하여 성취된다."
4383,125,"As a result of examining what kind of relationship there is with the behavioral intentions caused by the perceived values of tourists in urban tourist destinations, it was found that there is a significant causal relationship between the perceived values and behavioral intentions.","도시관광지 관광객의 지각된 가치로 인한 행동의도에는 어떠한 관련성이 있는가를 살펴본 결과, 지각된 가치와 행동의도 간에는 유의적인 인과관계가 있는 것으로 나타났다."
1317,71265,But the soup is delicious.,그런데 국물이 맛있다.
